CO_ID;TE_NOME;TE_MODULO
1;MODIFICA_PASSWORD;GTW
2;INFO_ACCOUNT;GTW
3;MODIFICA_PROFILO_ACCOUNT;GTW
10;INFO_APP;GTW
11;ADMIN_LIST_USER;GTW
12;ADMIN_DETAIL_USER;GTW
13;ADMIN_CREATE_USER;GTW
14;ADMIN_UPDATE_USER;GTW
15;ADMIN_DELETE_USER;GTW
16;ADMIN_LIST_PERMISSION;GTW
17;ADMIN_UPDATE_PERMISSION;GTW
18;ADMIN_CREATE_PERMISSION;GTW
19;ADMIN_DETAIL_PERMISSION;GTW
20;ADMIN_DELETE_PERMISSION;GTW
21;LIST_FUNCTION;GTW
22;UPDATE_FUNCTION;GTW
23;CREATE_FUNCTION;GTW
24;DETAIL_FUNCTION;GTW
25;DELETE_FUNCTION;GTW
26;CREATE_GROUP;GTW
27;UPDATE_GROUP;GTW
28;LIST_GROUP;GTW
29;DETAIL_GROUP;GTW
30;DELETE_GROUP;GTW
1090;ELENCO_PERMESSI_ASSOCIABILI_A_FUNZIONE;GTW
1100;ELENCO_PERMESSI_ASSOCIATI_A_FUNZIONE;GTW
1110;UPDATE_FUNCTION_ASSOCIA_PERMESSO;GTW
1111;UPDATE_FUNCTION_RIMUOVI_PERMESSO;GTW
1120;ELENCO_FUNZIONI_ASSOCIABILI_A_GRUPPO;GTW
1121;ELENCO_FUNZIONI_ASSOCIATI_A_GRUPPO;GTW
1130;UPDATE_GROUP_ASSOCIA_FUNZIONE;GTW
1131;UPDATE_GROUP_RIMUOVI_FUNZIONE;GTW
1020;STRUMENTI_CONTROLLO;GTW
